"M.Z","Intensity"
10.8114252413468,2232
10.8200359906697,2125
10.8284773580044,2109
10.8367493433511,2053
10.8448519467097,2126
10.8527851680802,2070
10.8605490074625,2045
10.8681434648568,2034
10.8755685402631,2020
10.8828242336812,2083
10.8899105451112,2076
10.8968274745532,2162
10.903575022007,2059
10.9101531874728,1980
10.9165619709504,1935
10.92280137244,1942
10.9288713919415,1948
10.9347720294549,2003
10.9405032849802,1890
10.9460651585174,1947
10.9514576500666,2103
10.9566807596276,2326
10.9617344872005,2312
10.9666188327854,2401
10.9713337963822,2412
10.9758793779908,2359
10.9802555776114,2460
10.9844623952439,2318
10.9884998308883,2428
10.9923678845447,2242
10.9960665562129,2175
10.999595845893,2084
11.0029557535851,2052
11.006146279289,2115
11.0091674230049,2108
11.0120191847326,2210
11.0147015644723,2229
11.0172145622239,2348
11.0195581779874,2250
11.0217324117628,2238
11.0237372635501,2299
11.0255727333494,2187
11.0272388211605,2239
11.0287355269836,2188
11.0300628508185,2073
11.0312207926654,2038
11.0322093525242,1950
11.0330285303949,1884
11.0336783262775,1910
11.034158740172,1929
11.0344697720784,1957
11.0346114219967,2030
11.0346583079275,2019
11.0348554219853,2053
11.0352219180313,2084
11.0357577960653,2155
11.0364630560874,2223
11.0373376980976,2285
11.038381722096,2249
11.0395951280823,2277
11.0409779160568,2201
11.0425300860194,2207
11.0442516379701,2185
11.0461425719088,2230
11.0482028878357,2237
11.0504325857506,2207
11.0528316656537,2263
11.0554001275448,2203
11.058137971424,2201
11.0610451972913,2195
11.0641218051467,2258
11.0673677949902,2261
11.0707831668217,2277
11.0743679206414,2264
11.0781220564491,2215
11.082045574245,2174
11.0861384740289,2149
11.0904007558009,2179
11.0948324195611,2172
11.0994334653093,2089
11.1042038930456,2124
11.1091437027699,2097
11.1142528944824,2043
11.119531468183,2068
11.1249794238716,2093
11.1305967615484,2095
11.1363834812132,2067
11.1423395828661,2071
11.1484650665072,2089
11.1547599321363,2057
11.1612241797535,2053
11.1678578093588,2100
11.1746608209521,2149
11.1816332145336,2092
11.1887749901032,2139
11.1960861476608,2124
11.2035666872066,2117
11.2112166087404,2169
11.2190359122623,2132
11.2270245977723,2208
11.2351826652704,2213
11.2435101147566,2153
11.2520069462309,2162
11.2606731596933,2152
11.2695087551437,2186
11.2785137325823,2163
11.2876880920089,2182
11.2970318334237,2136
11.3065449568265,2170
11.3162274622174,2154
11.3260793495964,2125
11.3361006189635,2181
11.3462912703187,2229
11.356651303662,2148
11.3671807189933,2179
11.3778795163128,2158
11.3887476956204,2141
11.399785256916,2155
11.4109922001997,2168
11.4223685254715,2196
11.4339142327314,2157
11.4456293219794,2160
11.4575137932155,2138
11.4695676464397,2154
