"M.Z","Intensity"
10.8114252413468,2175
10.8200359906697,2176
10.8284773580044,2120
10.8367493433511,2059
10.8448519467097,2101
10.8527851680802,2088
10.8605490074625,2069
10.8681434648568,2003
10.8755685402631,2068
10.8828242336812,2064
10.8899105451112,2073
10.8968274745532,2153
10.903575022007,2016
10.9101531874728,1976
10.9165619709504,1992
10.92280137244,1957
10.9288713919415,1922
10.9347720294549,1985
10.9405032849802,1866
10.9460651585174,1978
10.9514576500666,2053
10.9566807596276,2318
10.9617344872005,2329
10.9666188327854,2389
10.9713337963822,2411
10.9758793779908,2376
10.9802555776114,2422
10.9844623952439,2338
10.9884998308883,2437
10.9923678845447,2261
10.9960665562129,2196
10.999595845893,2074
11.0029557535851,2037
11.006146279289,2088
11.0091674230049,2119
11.0120191847326,2206
11.0147015644723,2207
11.0172145622239,2343
11.0195581779874,2254
11.0217324117628,2234
11.0237372635501,2307
11.0255727333494,2204
11.0272388211605,2221
11.0287355269836,2150
11.0300628508185,2121
11.0312207926654,2046
11.0322093525242,1918
11.0330285303949,1900
11.0336783262775,1905
11.034158740172,1940
11.0344697720784,1974
11.0346114219967,1984
11.0346583079275,2038
11.0348554219853,2029
11.0352219180313,2096
11.0357577960653,2152
11.0364630560874,2187
11.0373376980976,2247
11.038381722096,2287
11.0395951280823,2236
11.0409779160568,2225
11.0425300860194,2187
11.0442516379701,2210
11.0461425719088,2195
11.0482028878357,2232
11.0504325857506,2241
11.0528316656537,2259
11.0554001275448,2209
11.058137971424,2190
11.0610451972913,2216
11.0641218051467,2235
11.0673677949902,2311
11.0707831668217,2233
11.0743679206414,2237
11.0781220564491,2209
11.082045574245,2176
11.0861384740289,2166
11.0904007558009,2165
11.0948324195611,2160
11.0994334653093,2125
11.1042038930456,2121
11.1091437027699,2088
11.1142528944824,2027
11.119531468183,2083
11.1249794238716,2069
11.1305967615484,2085
11.1363834812132,2077
11.1423395828661,2061
11.1484650665072,2063
11.1547599321363,2059
11.1612241797535,2086
11.1678578093588,2099
11.1746608209521,2099
11.1816332145336,2130
11.1887749901032,2134
11.1960861476608,2124
11.2035666872066,2123
11.2112166087404,2142
11.2190359122623,2168
11.2270245977723,2206
11.2351826652704,2141
11.2435101147566,2183
11.2520069462309,2158
11.2606731596933,2118
11.2695087551437,2154
11.2785137325823,2174
