"M.Z","Intensity"
10.8114252413468,2129
10.8200359906697,2136
10.8284773580044,2161
10.8367493433511,2007
10.8448519467097,2110
10.8527851680802,2037
10.8605490074625,2061
10.8681434648568,2021
10.8755685402631,2022
10.8828242336812,2054
10.8899105451112,2054
10.8968274745532,2140
10.903575022007,2065
10.9101531874728,1920
10.9165619709504,1982
10.92280137244,1963
10.9288713919415,1924
10.9347720294549,1941
10.9405032849802,1865
10.9460651585174,1989
10.9514576500666,2053
10.9566807596276,2273
10.9617344872005,2290
10.9666188327854,2413
10.9713337963822,2424
10.9758793779908,2344
10.9802555776114,2410
10.9844623952439,2336
10.9884998308883,2411
10.9923678845447,2240
10.9960665562129,2192
10.999595845893,2052
11.0029557535851,2034
11.006146279289,2072
11.0091674230049,2099
11.0120191847326,2223
11.0147015644723,2213
11.0172145622239,2300
11.0195581779874,2229
11.0217324117628,2262
11.0237372635501,2234
11.0255727333494,2168
11.0272388211605,2247
11.0287355269836,2145
11.0300628508185,2079
11.0312207926654,2036
11.0322093525242,1919
11.0330285303949,1890
11.0336783262775,1874
11.034158740172,1959
11.0344697720784,1928
11.0346114219967,2024
11.0346583079275,1999
11.0348554219853,2048
11.0352219180313,2055
11.0357577960653,2166
11.0364630560874,2185
11.0373376980976,2226
11.038381722096,2264
11.0395951280823,2237
11.0409779160568,2221
11.0425300860194,2172
11.0442516379701,2196
11.0461425719088,2215
11.0482028878357,2231
11.0504325857506,2206
11.0528316656537,2210
11.0554001275448,2221
11.058137971424,2166
11.0610451972913,2235
11.0641218051467,2237
11.0673677949902,2243
11.0707831668217,2224
11.0743679206414,2270
11.0781220564491,2190
11.082045574245,2187
11.0861384740289,2133
11.0904007558009,2160
11.0948324195611,2126
11.0994334653093,2149
11.1042038930456,2100
11.1091437027699,2086
11.1142528944824,2023
11.119531468183,2065
11.1249794238716,2054
11.1305967615484,2083
11.1363834812132,2060
11.1423395828661,2049
11.1484650665072,2037
11.1547599321363,2017
11.1612241797535,2039
11.1678578093588,2092
11.1746608209521,2090
11.1816332145336,2104
11.1887749901032,2139
11.1960861476608,2127
11.2035666872066,2098
11.2112166087404,2147
11.2190359122623,2133
11.2270245977723,2167
11.2351826652704,2180
11.2435101147566,2134
11.2520069462309,2166
11.2606731596933,2145
11.2695087551437,2141
11.2785137325823,2157
11.2876880920089,2196
11.2970318334237,2152
11.3065449568265,2140
11.3162274622174,2158
11.3260793495964,2127
11.3361006189635,2188
11.3462912703187,2173
11.356651303662,2169
11.3671807189933,2154
11.3778795163128,2152
11.3887476956204,2143
11.399785256916,2141
11.4109922001997,2148
11.4223685254715,2158
11.4339142327314,2151
11.4456293219794,2158
11.4575137932155,2129
11.4695676464397,2150
11.481790881652,2152
11.4941834988524,2146
11.5067454980408,2170
11.5194768792173,2176
11.532377642382,2177
11.5454477875347,2146
11.5586873146755,2165
11.5720962238044,2176
11.5856745149214,2175
11.5994221880265,2170
11.6133392431197,2154
11.6274256802009,2147
11.6416814992703,2136
11.6561067003277,2104
11.6707012833733,2134
11.6854652484069,2153
11.7003985954286,2128
11.7155013244384,2130
11.7307734354363,2130
11.7462149284223,2104
11.7618258033964,2111
11.7776060603586,2112
11.7935556993088,2122
11.8096747202472,2122
11.8259631231736,2113
11.8424209080881,2135
11.8590480749908,2103
11.8758446238815,2172
11.8928105547603,2082
11.9099458676272,2093
11.9272505624822,2115
11.9447246393252,2147
11.9623680981564,2123
11.9801809389756,2117
11.998163161783,2148
12.0163147665784,2078
12.0346357533619,2125
12.0531261221336,2128
12.0717858728933,2182
12.0906150056411,2140
12.109613520377,2109
12.1287814171009,2153
12.148118695813,2151
12.1676253565132,2162
12.1873013992014,2160
12.2071468238777,2173
12.2271616305422,2204
12.2473458191947,2172
12.2676993898353,2181
12.288222342464,2138
12.3089146770808,2164
12.3297763936857,2212
12.3508074922786,2146
12.3720079728597,2182
12.3933778354288,2183
12.4149170799861,2174
12.4366257065314,2150
12.4585037150648,2147
12.4805511055864,2125
12.502767878096,2133
12.5251540325937,2192
12.5477095690794,2107
12.5704344875533,2125
12.5933287880153,2172
12.6163924704653,2129
12.6396255349035,2174
12.6630279813297,2178
12.686599809744,2135
